blend_name,company_name,description,flavors,vendor_location,notes,origin,price,review_date,roast,vendor_phone,vendor_website
Elida Estate Geisha Green-Tip Natural,Dragonfly Coffee Roasters,"Vast yet intimate in its layered intricacy: complete and perfectly balanced. Complex flowers (citrus blossom, ginger blossom, aromatic orchid), bright, fresh fruit (pear, peach, tangerine), sweet cocoa, sandalwood, a hint of candycap mushroom in aroma and cup. In structure, juicy and lyrically bright with a subtly pungent umami base; light-footed, satiny mouthfeel. Pear leads into long, vibrantly flavor-saturated finish.","['Spice', 'Fruity', 'Chocolatey', 'Earthy/Herbal']","Boulder, Colorado","['Ginger', 'Pear', 'Peach', 'Tangerine', 'Cocoa', 'Mushroom']","Boquete growing region, western Panama",$100.00/21 grams; limited availability,October 2019,Medium-Light,303-579-2154,www.dragonflycoffeeroasters.com
Panama Hacienda La Esmeralda Super Mario Geisha,Campos Coffee,"Brightly fruit-toned, tropical, and aromatically vibrant. Lychee, passionfruit, dark chocolate, frankincense, star jasmine in aroma and cup. Deeply sweet-tart structure with high-toned, juicy acidity; lush, syrupy mouthfeel. Resounding flavor-saturated finish with layer after layer of fruit far into the long.","['Fruity', 'Chocolatey', 'Floral']","Newtown, Sydney, Australia","['Lychee', 'Chocolate', 'Jasmine']","Boquete growing region, western Panama",AUD $18.00/18 grams,October 2019,Medium-Light,,
Kenya Gakundu FCS Kamviu Wet Mill,Stereo Coffee Roasters,"Savory-sweet, richly aromatic. Red currant, hop flowers, lime zest, dark chocolate, cedar in aroma and cup. Savory-sweet structure with high-toned, juicy acidity; full, buttery mouthfeel. Cocoa-toned finish with notes of red currant and lime zest in the short, rounding to hop flowers in the long.","['Fruity', 'Chocolatey', 'Earthy/Herbal']","Toronto, Ontario, Canada","['Lime', 'Chocolate', 'Cedar']","Embu County, Eastern Province, Kenya",CAD $21.00/12 ounces,October 2019,Medium-Light,,www.stereocoffeeroasters.com
Rukira Kenya,Coava Coffee Roasters,"Rich-toned, crisply sweet-savory. Red currant, hop flowers, pink grapefruit zest, cocoa nib, sandalwood in aroma and cup. Structure is equal parts sweet and savory, with vibrant, juicy acidity; plush, syrupy mouthfeel. The finish is centered around notes of red currant and hop flowers supported by cocoa throughout.","['Fruity', 'Chocolatey']","Portland, Oregon","['Grapefruit', 'Cocoa']","Nyeri growing region, south-central Kenya",$15.00/250 grams,October 2019,Medium-Light,503-894-8134,www.coavacoffee.com
Gesha Village Lot #85 Natural,JBC Coffee Roasters,"High-toned, multi-layered, intriguingly complex. Wisteria, pineapple, myrrh, cocoa nib, pink grapefruit zest in aroma and cup. Richly sweet-tart structure with vibrant, juicy acidity; crisp yet syrupy mouthfeel. The resounding, flavor-laden finish is both deeply floral and richly sweet-tart.","['Fruity', 'Chocolatey']","Madison, Wisconsin","['Pineapple', 'Cocoa', 'Grapefruit']","Bench-Maji Zone, southern Ethiopia",$39.95/8 ounces*,October 2019,Medium-Light,608-256-5282,www.jbccoffeeroasters.com
Ethiopia Natural Yirgacheffe Banko Gotiti,Kakalove Cafe,"Richly sweet, cleanly fruit-driven, floral-toned. Raspberry jam, dark chocolate, gardenia, cedar, maple syrup in aroma and cup. Sweetly tart structure with bright, juicy acidity; crisp though syrupy mouthfeel. A resonant finish centers around raspberry and chocolate with hints of cedar.","['Fruity', 'Chocolatey', 'Earthy/Herbal']","Chia-Yi, Taiwan","['Raspberry', 'Chocolate', 'Cedar']","Kochere Woreda, Yirgacheffe growing region, south-central Ethiopia",NT $325/8 ounces,October 2019,Medium-Light,,www.kakalovecafe.com.tw
Indonesia Sumatra Gayo Espresso,Simon Hsieh's Aroma Roast Coffees,"Evaluated as espresso. Very rich and deeply sweet. Dark chocolate, dried cherry, singed cedar, lilac, candy cap mushroom with layered complexity in aroma and small cup. Very thick, syrupy mouthfeel; the finish consolidates to smoky cocoa and sweetly savory mushroom. In three parts milk, the cup is very chocolaty, sweet and floral with an umami throughline.","['Chocolatey', 'Fruity', 'Earthy/Herbal', 'Smoky']","Taoyuan City, Taiwan","['Chocolate', 'Cherry', 'Cedar', 'Mushroom', 'Smoky', 'Cocoa']","Gayo (also Aceh) growing region, Aceh Province, northern Sumatra, Indonesia",NT $1200/16 ounces,October 2019,Dark,886-0983-749876,
Ethiopia Limu Nano Challa Lot #10,Branch Street Coffee Roasters,"Vibrant, floral, richly sweet. Jasmine, white peach, almond, oak, lime zest in aroma and cup. Sweetly tart structure with juicy, bright acidity; plush, syrupy mouthfeel. The finish resonates with notes of white peach and jasmine with undertones of oak.","['Floral', 'Fruity', 'Nutty']","Youngstown, Ohio","['Jasmine', 'Peach', 'Almond', 'Lime']","Jimma Zone, Oromia State, Ethiopia",$16.25/10 ounces,September 2019,Medium-Light,,www.branchstreetcoffee.com
Best of Panama GNEP-01 Elida Geisha Green Tip Natural,Willoughby's Coffee & Tea," Nuanced, ethereal, yet exceptionally lush. Aprium, star jasmine, pistachio butter, cocoa, pink peppercorn, almond brittle in aroma and cup. High-toned, sweetly tart in structure with a juicy, vibrant acidity; levitating, nectar-like mouthfeel. The finish is rich-toned and resonant with all of the aromatics and flavors of the cup, star jasmine and cocoa, in particular.","['Floral', 'Sweet', 'Chocolatey', 'Nutty']","Branford, Connecticut","['Jasmine', 'Butter', 'Cocoa', 'Almond']","Boquete growing region, western Panama",See website for more information,September 2019,Medium-Light,800-388-8400,www.willoughbyscoffee.com
Geisha XO,Bird Rock Coffee Roasters,"Rich-toned, deeply chocolaty and fruity with savory undertones. Chocolate fudge, ripe wild strawberry, honey, macadamia nut, fine Roquefort cheese. Sweet-savory in structure enlivened by bright, juicy acidity; full, syrupy mouthfeel. Savory-sweet finish with notes of fine Roquefort, strawberry, and chocolate fudge.","['Chocolatey', 'Fruity', 'Sweet']","San Diego, California","['Chocolate', 'Strawberry', 'Honey']","Valle de Cauca, Colombia",$60.00/8 ounces,September 2019,Medium,858-551-1707,www.birdrockcoffee.com
